topic,value
Fashion,100
Clothing,5
Fashion design,5
Dress,5
Fashion show,5
Model,0
Brand,0
Style.com,0
Summer,0
Winter,0
Shopping,0
Shopping mall,0
Fashion Police,0
Hijab,0
1990s,0
Fashion King,0
WE,0
Casual,0
MATCHESFASHION.COM,0
Ally Fashion,0
Sari,0
Fashion To Figure,0
Fashion Outlets of Chicago,0
Sneakers,0

