topic,value
fashion trends 2017,"+2,000%"
summer 2016 trends,"+1,800%"
summer 2016 fashion,"+1,800%"
2016 fall fashion,"+1,400%"
2016 trends fashion,"+1,400%"
2016 trends,"+1,350%"
2016 fashion,"+1,350%"
fall 2016 trends,"+1,300%"
spring trends 2016,+900%
spring 2016 fashion,+900%
spring 2016,+900%
fashion week 2016,+350%
fashion nova,+140%
korean fashion trends,+130%
80 fashion trends,+50%
rue 21,+40%
