topic,value
Fashion,100
Autumn,15
Spring,10
Clothing,10
Summer,10
1990s,5
Winter,5
Color,5
Dress,5
Citi Trends,5
1980s,5
Celebrity,0
1970s,0
Jeans,0
1960s,0
Trousers,0
Bestseller,0
Boot,0
1950s,0
Jewellery,0
2000s,0
Jacket,0
Google Trends,0
Industry,0
Popular music,0
